Store,Sales_recent,customer_recent,Sales_total,customer_total,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,-1.030955543,-0.584594139,-0.794633836,-0.449994695,c,a,1270.0,9.0,2008.0,0,,,
2,-0.833442167,-0.450276071,-0.709048013,-0.393104027,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
3,-0.088905597,-0.08705163,0.0721745035,0.0219726789,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
4,1.1031433679,1.469683932,1.1731026352,1.5054365727,c,c,620.0,9.0,2009.0,0,,,
5,-0.976852651,-0.587325931,-0.832575634,-0.52199428,a,a,29910.0,4.0,2015.0,0,,,
6,-0.92872813,-0.542577986,-0.4969335,-0.269593637,a,a,310.0,12.0,2013.0,0,,,
7,0.7557005399,0.4682593759,0.8521353002,0.5512902582,a,c,24000.0,4.0,2013.0,0,,,
8,-0.3073092,-0.084349531,-0.473821269,-0.20215988,a,a,7520.0,10.0,2014.0,0,,,
9,0.1666402232,-0.293569185,-0.079621386,-0.413382734,a,c,2030.0,8.0,2000.0,0,,,
10,-0.502791929,-0.393205368,-0.462144465,-0.367481562,a,a,3160.0,9.0,2009.0,0,,,
11,0.1744516278,0.7715477012,0.5272674976,1.012215617,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
12,0.3040632506,0.3817922128,0.3499292078,0.4122540864,a,c,1070.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
13,-0.771184886,-1.004325108,-1.097137113,-1.115610919,d,a,310.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
14,-0.622302558,-0.339846339,-0.500307654,-0.281311828,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
15,-0.076317402,-0.227738931,-0.018406439,-0.188767661,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
16,0.3699298139,0.2976856746,0.358972389,0.2782137372,a,c,3270.0,,,0,,,
17,-0.331240854,0.023853196,-0.160374032,0.1361347747,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct"
18,-0.015559256,-0.054225583,-0.07035784,-0.065093152,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
19,-0.106752124,-0.307272686,-0.118514342,-0.298692171,a,c,3240.0,,,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
20,0.4376521252,0.2560406896,-0.238754931,-0.171859986,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
21,-0.564449555,-0.640061398,-0.51640509,-0.579026092,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
22,-0.983378433,-0.668849144,-1.263729258,-0.871435987,a,a,1040.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
23,-0.614459354,-0.718927053,-0.495631295,-0.662382804,d,a,4060.0,8.0,2005.0,0,,,
24,1.1297007807,0.2507701122,1.0485541591,0.2402198828,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
25,1.498996916,1.9335541316,1.5933599589,1.9699561666,c,a,430.0,4.0,2003.0,0,,,
26,-0.07124987,-0.49033246,-0.025706171,-0.468619069,d,a,2300.0,,,0,,,
27,1.0425328645,0.7783623351,1.0845987644,0.8521818913,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
28,-0.965486478,-0.626506364,-0.608042762,-0.424808791,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec"
29,0.5037322018,-0.1114596,0.2407279008,-0.224460549,d,c,2170.0,,,0,,,
30,-1.085714875,-0.3175466,-0.591081801,0.0860386877,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
31,-0.507171222,-0.489723745,-0.344017847,-0.387822635,d,c,9800.0,7.0,2012.0,0,,,
32,-1.188809971,-0.735317806,-1.404859975,-0.923284879,a,a,2910.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
33,0.5134107116,0.1553355442,0.6686457408,0.2424683312,a,c,1320.0,5.0,2013.0,0,,,
34,0.439957614,0.6307861674,0.5274719762,0.6606042397,c,a,2240.0,9.0,2009.0,0,,,
35,1.5068832774,0.059811896,1.1742229114,-0.030247125,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
36,1.0069102246,0.8015974158,0.2853252462,0.3300856061,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
37,-0.127353881,-0.038399004,0.1443272614,0.1038391778,c,a,4230.0,12.0,2014.0,0,,,
38,-0.353180475,-0.543394554,-0.30226424,-0.52709514,d,a,1090.0,4.0,2007.0,0,,,
39,-0.702792507,-0.227961631,-0.762194511,-0.286045059,a,a,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
40,-1.126439119,-0.486323851,-0.749863273,-0.20512061,a,a,180.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
41,-0.441822541,-0.82897077,-0.998829031,-1.083472878,d,c,1180.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
42,1.3764539444,0.9006545779,1.3638780898,0.9168485804,a,c,290.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
43,-0.268894988,-0.464009266,0.0244059462,-0.335796493,d,a,4880.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
44,-0.680818814,-0.345547471,-0.498273117,-0.248838982,a,a,540.0,6.0,2011.0,0,,,
45,-0.695176444,-0.899848902,-0.56422182,-0.833842586,d,a,9710.0,2.0,2014.0,0,,,
46,-0.658418096,-0.267335071,-0.993336296,-0.547452625,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
47,0.177488513,0.4663144586,0.1713384226,0.4732379156,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
48,-1.377576118,-0.966362104,-1.118437735,-0.791378094,a,a,1060.0,5.0,2012.0,0,,,
49,0.2177607444,-0.536579921,0.2090239815,-0.539886678,d,c,18010.0,9.0,2007.0,0,,,
50,-1.06280763,-0.993294012,-1.000329566,-0.978521214,d,a,6260.0,11.0,2009.0,0,,,
51,-0.022094124,-0.66059438,-0.571616873,-0.881293053,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
52,-0.214946552,-0.826253825,-0.338073619,-0.867999307,d,c,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
53,-0.700144034,-0.503130312,-0.584131066,-0.437597046,a,c,30360.0,9.0,2013.0,0,,,
54,0.355865197,-0.108059706,0.4817246309,-0.013753033,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
55,-0.779845801,-0.395491759,-0.861072468,-0.464867279,a,a,720.0,11.0,2004.0,0,,,
56,0.4502562207,-0.508000029,0.2310574469,-0.596403152,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
57,0.8143462671,0.2866694254,1.4801413393,0.6024695393,d,c,420.0,6.0,2014.0,0,,,
58,0.012867533,-0.553133988,-0.67647032,-0.846614429,a,c,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
59,-0.609930147,-0.52489557,-0.494746246,-0.448232043,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
60,0.7081120728,0.0135050482,0.5116482028,-0.069281502,d,c,5540.0,10.0,2009.0,0,,,
61,-0.797283473,-0.417257017,-0.819158968,-0.437790708,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
62,-0.162033882,-0.095484554,-0.102964232,-0.060090764,a,a,2050.0,,,0,,,
63,0.1273310728,-0.259436629,0.0955163245,-0.251944138,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
64,1.6534941883,0.1721716985,1.4362922113,0.1313523085,d,c,22560.0,,,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
65,-0.748990866,-0.792937837,-0.655647839,-0.728739932,a,c,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
66,-0.351815353,-0.613025563,-0.264729862,-0.559400584,d,a,7660.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
67,0.4136228,0.1325755578,0.4180036683,0.1400966393,a,c,410.0,2.0,2006.0,0,,,
68,0.2697444043,1.0043587561,0.3393439813,1.0684760633,a,c,250.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
69,0.7731472974,1.0500271959,1.0734523748,1.138420862,c,c,1130.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
70,-0.170899225,-0.231717845,-0.05122141,-0.152835158,c,c,4840.0,,,0,,,
71,0.7887860065,-0.059021066,0.9179338473,0.0139012415,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
72,-1.058246624,-0.764075858,-1.288241066,-0.92490967,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
73,-0.931104032,-0.68482419,-0.860488756,-0.624359407,a,c,1650.0,9.0,2008.0,0,,,
74,-0.399054022,0.1643326426,-0.211285102,0.2798615053,a,a,330.0,,,0,,,
75,-0.378931535,-0.295484409,-0.279320102,-0.243482094,d,c,22440.0,12.0,2013.0,0,,,
76,0.8482880582,0.4393083168,0.1738792869,0.0019303052,d,c,19960.0,3.0,2006.0,0,,,
77,0.3567646783,-0.242437161,0.3510248851,-0.196757039,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
78,-1.305263272,-0.695884979,-1.21344341,-0.628994165,a,a,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
79,-0.57256533,-0.481632295,-0.519622425,-0.466485505,a,a,3320.0,,,0,,,
80,0.3420527075,-0.406790096,0.341130991,-0.418677255,d,a,7910.0,,,0,,,
81,0.135510447,-0.485032189,-0.472672807,-0.749583213,a,a,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
82,0.8300849187,0.2150044193,0.9013885054,0.2482223896,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
83,-1.264211945,-1.074757838,-1.147388112,-1.01166039,a,a,2710.0,,,0,,,
84,2.4828386718,1.6101485319,2.472856221,1.6641606183,a,c,11810.0,8.0,2014.0,0,,,
85,0.7629599901,1.2455433481,0.8113677006,1.2436777892,b,a,1870.0,10.0,2011.0,0,,,
86,-0.958520041,-0.456274137,-0.827497493,-0.351076095,a,a,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
87,-0.506012799,-0.050172435,-0.342919095,0.0017825969,a,a,560.0,12.0,2010.0,0,,,
88,-0.417225362,-0.378907999,-0.291276206,-0.325263251,a,a,10690.0,10.0,2005.0,0,,,
89,-0.401495796,-0.363437741,-0.796007789,-0.621618598,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
90,0.5945116717,0.7426411822,0.6563913745,0.8034578501,a,a,330.0,11.0,2007.0,0,,,
91,-0.97786116,-0.721124364,-0.483021781,-0.32816818,c,a,2410.0,,,1,35.0,2011.0,"Jan,Apr,Jul,Oct"
92,-0.231780027,-0.497384641,-0.305441602,-0.497146464,c,a,240.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
93,-0.472450334,-0.458798075,-0.318020367,-0.352684474,a,a,16690.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
94,0.1177865766,-0.289560577,0.1434652739,-0.259126043,d,c,14620.0,,,0,,,
95,-0.060812706,0.072550362,0.3539362708,0.2641847321,a,a,1890.0,10.0,2014.0,0,,,
96,-0.692484814,-0.541568411,-0.630067515,-0.506317507,a,a,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
97,-0.05197235,-0.168159136,-0.019872638,-0.132372636,d,c,8980.0,,,0,,,
98,-0.613782471,-0.738153525,-0.659478097,-0.741268877,d,c,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
99,-0.544229397,-0.669858719,-1.06402798,-0.945536312,c,c,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
100,0.4223700286,-0.187088674,-0.225998849,-0.530984792,d,a,17930.0,,,0,,,
101,0.2858283112,0.060450304,0.3018275401,0.1039671916,d,c,2440.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
102,0.0205244813,0.6734258811,0.0905698899,0.7587350625,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
103,-0.882588827,-0.830796914,-1.182979687,-1.022718817,d,c,5210.0,5.0,2015.0,0,,,
104,1.3299444006,1.4766321862,1.3692268194,1.4813108854,a,a,390.0,6.0,2009.0,0,,,
105,-0.805019921,-0.458991082,-0.98325791,-0.621257533,a,c,6190.0,,,1,23.0,2013.0,"Mar,Jun,Sept,Dec"
106,0.6771730957,0.1929125342,0.7435581911,0.2043661573,a,a,1390.0,8.0,2013.0,0,,,
107,0.2646178151,0.613905473,0.2482746472,0.562434028,a,a,1930.0,9.0,2009.0,0,,,
108,2.1082137912,0.3816734392,0.8182051778,-0.163050007,d,c,2190.0,9.0,2003.0,0,,,
109,-0.186319878,-0.017494855,-0.102186291,0.0144658154,a,c,3300.0,11.0,2010.0,0,,,
110,-1.111693077,-0.53123511,-0.877583986,-0.384251377,a,c,46590.0,4.0,2013.0,0,,,
111,-0.10177772,-0.436810117,0.010919071,-0.36379542,d,c,7890.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
112,-0.292849356,0.054274078,-0.196554956,0.1009769194,a,a,1630.0,9.0,2009.0,0,,,
113,-0.474437825,-0.413471109,-0.404652669,-0.468212051,d,c,20930.0,11.0,1999.0,0,,,
114,-0.689407044,-0.429713396,-0.551284321,-0.331017309,c,a,4510.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
115,0.3884759374,-0.471313841,-0.349630503,-0.768883763,d,c,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
116,0.1070518577,-0.004711849,0.2276438331,0.0528207346,a,a,680.0,4.0,2013.0,0,,,
117,-1.295798276,-0.713181381,-1.149683499,-0.637761473,a,a,3450.0,9.0,2011.0,0,,,
118,0.5261579063,-0.120100378,0.4190988331,-0.161950401,d,c,3580.0,9.0,2012.0,0,,,
119,-0.401329982,-0.244441465,-0.286700293,-0.184746714,a,c,2100.0,2.0,2010.0,0,,,
120,0.04063334,-0.301200387,0.146344886,-0.259917103,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
121,-1.09620201,-0.729779988,-0.919360655,-0.605301756,a,a,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
122,0.1193879259,0.3314025234,0.2313613462,0.4099071658,a,c,58260.0,4.0,2013.0,0,,,
123,0.3914378657,0.4342901332,0.6063443414,0.5235210997,a,a,16760.0,9.0,2011.0,0,,,
124,-0.962304222,-0.548561205,-0.933230351,-0.551801813,a,a,1410.0,4.0,2003.0,0,,,
125,1.9971573776,2.1202364991,2.0563999444,2.1544208434,a,a,760.0,12.0,2005.0,0,,,
126,-0.630570518,-0.64418878,-0.10141245,-0.505444387,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
127,-0.689715957,-0.231495145,-1.027034266,-0.546825685,d,a,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
128,0.5221806544,-0.252859542,0.2842572427,-0.371466404,d,c,2000.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
129,0.6872877176,0.9178173596,0.235752255,0.4835052829,a,a,2460.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
130,-0.734088097,-0.468982909,-0.649758445,-0.425140314,c,a,900.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
131,-0.812047686,-0.607754986,-0.593391025,-0.466872829,c,a,920.0,7.0,2015.0,0,,,
132,0.0933847389,-0.28163244,-0.696580969,-0.7068988,d,c,1040.0,,,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
133,-0.384498779,-0.175894265,-0.107435087,0.0518196006,a,a,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
134,-0.967458069,-0.677103907,-0.800658011,-0.623171176,a,a,1200.0,9.0,2008.0,0,,,
135,-0.338913702,-0.531739897,-0.317013348,-0.512209427,d,a,5190.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
136,-0.605827967,-0.870363361,-0.949816691,-1.03034713,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
137,0.5675317752,0.5370738162,-0.061695942,0.0584697561,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
138,0.212502413,-0.085700581,0.2325672062,-0.066796721,a,c,25360.0,10.0,2014.0,0,,,
139,-0.203616722,-0.638428262,-0.63891903,-0.846936105,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
140,0.2198958768,0.5852513479,0.2900118546,0.5743064921,a,c,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
141,-0.602479898,-0.357602989,-0.493142191,-0.335366498,c,c,1540.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
142,-0.992673074,-0.517190134,-0.861442989,-0.441716466,a,a,1090.0,7.0,2002.0,0,,,
143,-0.258946179,-0.452725776,-0.178460907,-0.407691041,d,a,2930.0,12.0,2002.0,0,,,
144,0.1149563905,-0.151857462,-0.22730823,-0.400650279,a,c,16570.0,,,0,,,
145,0.249855873,0.9054203676,-0.100102557,0.6341546086,a,a,280.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
146,0.5080024666,-0.076614402,0.4196005488,-0.099880095,d,c,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
147,0.4941150203,0.2879610881,0.5791799494,0.3532035947,d,c,8540.0,,,0,,,
148,0.7561184807,0.2010930642,0.7715466472,0.2128774372,a,a,2090.0,12.0,2008.0,0,,,
149,-0.635079281,-0.723663149,-0.924741158,-0.903278612,d,a,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
150,0.6711288539,0.2148262589,0.6824616267,0.2152440522,c,c,31830.0,3.0,2010.0,0,,,
151,0.0463663976,-0.186851127,0.0010605379,-0.226649914,d,c,4360.0,10.0,2005.0,0,,,
152,-0.572622115,-0.360512941,-0.486984771,-0.307045895,a,a,1780.0,,,0,,,
153,-0.273662693,-0.456066283,0.1217751685,-0.275144187,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
154,0.8162179151,-0.00861653,0.7977322069,-0.00552404,d,c,16420.0,,,0,,,
155,-0.003109617,-0.207131715,-0.500648451,-0.545680125,d,a,3050.0,,,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
156,-0.09596062,-0.16391298,0.0904796938,-0.066786874,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
157,1.128249345,0.5733739903,1.1820950811,0.6350211639,a,c,2950.0,10.0,2004.0,0,,,
158,0.5106259538,-0.626105503,0.5569461051,-0.566372415,d,c,11840.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov"
159,0.2314982772,-0.183911481,-0.225512508,-0.472748337,d,a,8530.0,3.0,2013.0,0,,,
160,-0.568211023,-0.528518164,-0.405770895,-0.46246784,d,c,17110.0,11.0,2005.0,0,,,
161,0.1620383314,0.1837075821,0.195944526,0.1987663719,a,c,2970.0,3.0,2005.0,0,,,
162,0.2834660371,-0.520382174,0.4097179291,-0.471412397,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
163,-0.103356355,0.1698259204,0.23305406,0.3449647545,a,a,1480.0,4.0,2009.0,0,,,
164,-0.206837592,-0.286769398,-0.716679831,-0.600637456,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
165,-1.282378741,-0.907643417,-1.425403155,-1.033055115,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
166,-0.654608928,0.0378239378,-0.376278317,0.1937803965,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
167,0.9635079799,0.7761798707,1.0163874724,0.8055946967,a,a,140.0,4.0,2008.0,0,,,
168,0.2182331992,-0.037181575,0.2938533873,-0.030982384,a,a,12540.0,,,0,,,
169,-0.429813557,-0.511978944,0.1344087683,-0.166325849,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
170,-0.986890045,-0.664602988,-0.699568714,-0.505572401,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
171,0.541010705,0.2552241213,0.6656467214,0.3215710438,a,a,2640.0,,,0,,,
172,-0.000447516,0.2530713502,-0.473952976,-0.12197069,a,a,110.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
173,0.4072628311,0.5705234245,0.6083496666,0.6942587529,a,a,350.0,12.0,2012.0,0,,,
174,-0.369339339,-0.682998046,-0.807100368,-0.916949835,a,a,13090.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
175,-0.404757551,-0.132022275,-0.375308197,-0.118497904,c,a,4130.0,,,0,,,
176,-0.736852412,-0.35813747,-0.592284073,-0.279952912,a,a,3770.0,,,0,,,
